(-40.76353265, -73.97225599017521),
(40.75449347916667, -73.97754116666667),
(40.775066100000004, -73.98266860124198), 
(40.71155485, -74.01141990722878), 
(40.725039, -73.9991532),
(40.7411861, -74.0054573),
(40.7733551, -73.9644948), 
(40.73459645, -73.87001159452466), 
(40.7156238, -73.959899), 
(40.6855893, -73.9782267), 
(40.75020495, -73.9853222), 
(40.864143049999996, -73.8276784603631)
